"subjID","run","anteriorinsula","dacc","VS","vmpfc"
"sub-104",1,1,1,1,1
NA,NA,NA,NA,NA,NA
"sub-105",1,1,1,1,1
"sub-105",2,1,1,1,1
"sub-106",1,1,1,1,1
"sub-106",2,1,1,1,1
"sub-107",1,1,1,1,1
"sub-107",2,1,1,1,1
"sub-108",1,1,1,1,1
"sub-108",2,1,1,1,1
"sub-109",1,1,1,1,0
"sub-109",2,1,1,1,1
"sub-110",1,1,1,1,1
"sub-110",2,1,1,1,1
"sub-111",1,1,1,1,1
"sub-111",2,1,1,1,1
"sub-112",1,1,1,1,1
"sub-112",2,1,1,1,1
"sub-113",1,1,1,1,1
"sub-113",2,1,1,1,1
"sub-115",1,1,1,1,1
"sub-115",2,1,1,1,1
"sub-116",1,1,1,1,1
"sub-116",2,1,1,1,1
"sub-117",1,1,1,1,1
"sub-117",2,1,1,1,1
"sub-118",1,1,1,1,1
"sub-118",2,1,1,1,1
"sub-121",1,1,1,1,1
"sub-121",2,1,1,1,1
"sub-122",1,1,1,1,1
"sub-122",2,1,1,1,1
"sub-124",1,1,1,1,1
"sub-124",2,1,1,1,1
"sub-125",1,1,1,1,1
"sub-125",2,1,1,1,1
"sub-126",1,1,1,1,1
"sub-126",2,1,1,1,1
"sub-127",1,1,1,0,1
"sub-127",2,1,1,1,1
"sub-128",1,1,1,1,1
"sub-128",2,1,1,1,1
"sub-129",1,1,1,1,1
"sub-129",2,1,1,1,1
"sub-130",1,1,1,1,1
"sub-130",2,1,1,1,1
"sub-132",1,1,1,1,1
"sub-132",2,1,1,1,1
"sub-133",1,1,1,1,1
"sub-133",2,1,1,1,1
"sub-134",1,1,1,1,1
"sub-134",2,1,1,1,1
"sub-135",1,1,1,0,1
"sub-135",2,1,1,1,1
"sub-136",1,1,1,1,1
"sub-136",2,1,1,1,1
"sub-137",1,1,1,1,1
"sub-137",2,1,1,1,1
"sub-138",1,1,1,0,0
"sub-138",2,1,1,0,1
"sub-140",1,1,1,1,1
"sub-140",2,1,1,1,1
"sub-141",1,1,1,1,1
"sub-141",2,1,1,1,1
"sub-142",1,0,1,1,1
"sub-142",2,1,1,1,1
"sub-143",1,1,1,1,1
"sub-143",2,1,1,1,1
"sub-144",1,1,1,1,1
"sub-144",2,1,1,1,1
"sub-147",1,1,1,1,1
"sub-147",2,1,1,1,1
"sub-149",1,1,1,1,1
"sub-149",2,0,1,1,1
"sub-150",1,1,1,1,1
"sub-150",2,1,1,1,1
"sub-151",1,1,1,1,1
"sub-151",2,1,1,1,1
"sub-152",1,1,1,1,1
"sub-152",2,1,1,1,1
"sub-153",1,1,1,1,1
"sub-153",2,1,1,1,1
"sub-154",1,1,1,1,0
"sub-154",2,1,0,1,1
"sub-155",1,1,1,1,1
"sub-155",2,1,1,1,1
"sub-156",1,1,0,1,1
"sub-156",2,1,1,1,1
"sub-157",1,1,0,0,1
"sub-157",2,1,1,1,1
"sub-158",1,1,1,1,1
"sub-158",2,1,1,1,1
"sub-159",1,1,1,1,1
"sub-159",2,1,1,1,1
