participant	age_group	missed_computer	missed_similar	missed_dissimilar	missed_total
sub-104	younger	0	0	0	0
sub-105	younger	1	0	0	1
sub-106	younger	0	0	0	0
sub-107	younger	0	1	1	2
sub-108	younger	0	0	0	0
sub-109	younger	7	6	5	18
sub-110	younger	0	0	0	0
sub-111	older	0	0	1	1
sub-112	younger	1	0	0	1
sub-113	younger	0	0	0	0
sub-115	younger	2	1	0	3
sub-116	younger	0	0	1	1
sub-117	younger	0	0	0	0
sub-118	younger	0	0	0	0
sub-121	younger	0	0	0	0
sub-122	younger	0	0	1	1
sub-124	younger	1	0	0	1
sub-125	younger	0	1	1	2
sub-126	younger	0	1	1	2
sub-127	older	1	0	0	1
sub-128	older	0	0	0	0
sub-129	older	1	0	0	1
sub-130	older	1	0	0	1
sub-132	older	1	0	0	1
sub-133	older	0	0	2	2
sub-134	older	2	3	4	9
sub-135	older	7	3	2	12
sub-136	older	0	0	0	0
sub-137	older	0	2	0	2
sub-138	older	5	4	1	10
sub-140	older	1	0	1	2
sub-141	older	2	0	0	2
sub-142	older	1	0	0	1
sub-143	older	0	0	0	0
sub-144	older	0	0	0	0
sub-147	older	0	0	3	3
sub-149	older	1	1	4	6
sub-150	younger	0	1	0	1
sub-151	older	0	0	0	0
sub-152	older	3	6	7	16
sub-153	younger	1	0	0	1
sub-154	older	1	5	0	6
sub-155	younger	0	0	0	0
sub-156	younger	0	0	0	0
sub-157	younger	0	1	1	2
sub-158	younger	0	0	1	1
sub-159	younger	0	0	0	0
